element_id,project_id,element_type,length_mm,width_mm,thickness_mm,mix_w_c,cement_type,admixture,admixture_dose_pct,curing_method,automation_level,ambient_temp_c,ambient_rh_pct,casting_datetime,strength_hr24,strength_hr48,strength_hr72,strength_hr96,strength_hr168,yard_day_cost,rework_cost,required_demould_strength,mold_id,mold_count_available,daily_demand,steam_energy_cost_per_hour,electricity_cost_per_hour,labor_cost_per_shift,region,monsoon_flag,curing_chamber_capacity,baseline_cycle_time,mold_opportunity_cost
E00011,P01,Column,7325,621,220,0.49,OPC,Retarder,1.37,Steam,1,29.9,86.1,2025-07-01 13:00:00,25.38,33.04,35.35,36.04,36.33,5439,21580,21,M050,32,49,1259,371,18912,West,1,10,28,3394
E00012,P02,Slab,3914,2614,135,0.41,OPC,Accelerator,0.63,Ambient,1,35.7,57.8,2025-08-15 17:00:00,24.88,32.41,34.68,35.37,35.65,4794,33773,21,M103,77,18,968,494,12035,North,1,17,28,3363
E00013,P03,Column,4768,1177,423,0.39,OPC,Accelerator,0.95,Steam,2,18.5,80.1,2025-12-23 23:00:00,24.11,31.37,33.55,34.21,34.49,4910,19997,23,M015,23,52,1288,557,20701,West,0,10,21,3580
E00014,P01,Slab,9031,1363,533,0.35,OPC,Plasticizer,1.28,Ambient,2,32.7,76.5,2025-02-05 19:00:00,26.21,34.1,36.48,37.2,37.5,5017,19302,19,M108,62,52,1378,567,17183,South,0,13,26,2786
E00015,P02,Wall,7245,1695,194,0.47,OPC,Retarder,0.39,Steam,2,24.0,45.8,2025-07-22 04:00:00,23.59,30.7,32.84,33.48,33.75,4004,20400,21,M130,36,23,1157,751,13127,East,1,12,31,2667
E00016,P02,Wall,8510,2566,128,0.4,PSC,Plasticizer,0.38,Ambient,0,22.8,56.3,2025-10-06 22:00:00,21.02,27.05,28.87,29.42,29.65,4341,21782,19,M142,29,32,1088,609,15450,West,0,15,26,2581
E00017,P05,Slab,8696,2134,403,0.46,OPC,Accelerator,1.07,Moist,0,37.2,63.6,2025-05-09 01:00:00,26.18,33.96,36.3,37.0,37.3,5104,26583,20,M114,55,60,1237,587,12158,West,0,8,22,2110
E00018,P05,Beam,7020,922,162,0.46,PSC,Retarder,0.97,Ambient,1,34.3,64.7,2025-07-09 18:00:00,22.05,28.79,30.82,31.44,31.69,4230,26176,19,M091,69,50,1216,798,22168,North,1,9,27,2165
E00019,P02,Wall,9909,2086,374,0.43,PSC,Accelerator,0.81,Steam,0,15.6,45.4,2025-01-13 05:00:00,21.11,27.44,29.35,29.92,30.16,4583,19268,25,M057,32,44,1158,456,15728,West,0,12,20,2291
E00020,P04,Wall,6376,2486,529,0.4,PSC,Accelerator,0.91,Ambient,1,37.7,52.5,2025-05-23 02:00:00,26.14,34.06,36.44,37.16,37.46,4165,37024,22,M010,26,53,1244,476,23936,East,0,15,33,3983
E00021,P05,Beam,5586,581,566,0.41,OPC,Plasticizer,1.21,Steam,2,20.7,43.8,2025-07-17 18:00:00,24.49,31.87,34.09,34.76,35.04,5273,39975,21,M094,47,19,1480,771,17409,North,1,24,30,2010
E00022,P03,Column,6172,2048,422,0.49,OPC,Accelerator,1.27,Moist,2,30.8,83.6,2025-06-08 21:00:00,21.88,28.46,30.45,31.05,31.3,4576,23702,22,M104,55,15,1111,446,15443,Central,1,18,30,3404
E00023,P04,Column,9528,1095,206,0.47,PSC,Plasticizer,0.52,Steam,2,37.3,67.0,2025-12-12 06:00:00,30.0,39.03,41.75,42.57,42.92,5068,28983,19,M061,63,34,1030,712,15262,West,0,9,20,1689
E00024,P02,Column,6895,2979,319,0.38,PSC,Retarder,0.81,Moist,0,35.5,83.0,2025-11-09 02:00:00,28.51,37.19,39.81,40.59,40.92,4102,39497,18,M028,69,42,1024,390,23401,West,0,21,34,1705
E00025,P05,Beam,7306,2575,692,0.35,PSC,Retarder,0.91,Steam,2,25.4,51.1,2025-03-04 14:00:00,29.76,38.72,41.42,42.24,42.58,4833,31983,25,M041,67,45,1260,432,24317,South,0,12,28,3635
E00026,P04,Slab,9345,1570,360,0.49,PSC,Retarder,0.69,Moist,2,28.0,75.2,2025-05-21 14:00:00,20.78,27.04,28.92,29.49,29.73,3965,22534,20,M060,44,59,956,661,15505,South,0,7,33,3169
E00027,P03,Slab,5194,2120,518,0.4,OPC,Plasticizer,1.47,Moist,1,39.1,52.6,2025-08-27 13:00:00,28.6,37.51,40.19,41.0,41.34,3812,29526,22,M100,74,41,1351,682,24036,Central,1,22,27,3499
E00028,P02,Slab,6685,1776,534,0.39,OPC,Retarder,0.34,Ambient,2,30.2,65.1,2025-08-12 15:00:00,23.53,30.62,32.75,33.39,33.66,4893,18883,24,M145,62,16,885,629,19022,East,1,9,34,2244
E00029,P01,Beam,7224,1738,465,0.36,PSC,Retarder,0.63,Moist,1,37.7,52.0,2025-07-14 10:00:00,30.83,40.12,42.92,43.76,44.11,3967,33411,18,M139,23,37,1029,632,13124,East,1,25,21,1627
E00030,P02,Beam,5454,917,604,0.5,OPC,Plasticizer,0.59,Ambient,1,31.8,78.1,2025-01-11 19:00:00,19.26,25.24,27.04,27.58,27.81,5232,26396,23,M043,58,53,917,698,14683,South,0,14,23,3870
E00031,P01,Column,6749,1212,197,0.39,OPC,Accelerator,1.17,Steam,1,24.2,71.6,2025-10-22 21:00:00,27.56,35.77,38.24,38.99,39.3,5201,37674,19,M145,70,17,1155,572,19018,East,0,16,22,3572
E00032,P03,Slab,7051,1883,590,0.36,OPC,Retarder,1.3,Ambient,2,23.0,49.3,2025-08-04 15:00:00,21.47,27.93,29.88,30.47,30.71,4868,39314,22,M138,69,45,1276,523,23977,North,1,23,28,2820
E00033,P02,Beam,9647,2303,508,0.36,PSC,Accelerator,1.01,Moist,1,31.9,40.8,2025-05-23 14:00:00,27.22,35.65,38.19,38.95,39.27,4172,33976,21,M091,71,31,1148,443,21767,North,0,13,20,3616
E00034,P02,Column,7502,2674,366,0.45,PSC,Plasticizer,0.51,Steam,1,32.3,59.3,2025-05-04 23:00:00,28.66,37.29,39.88,40.67,40.99,4717,18565,19,M076,34,40,1049,456,22878,North,0,23,31,3438
E00035,P05,Wall,6382,2258,397,0.49,PSC,Retarder,0.47,Ambient,0,23.5,45.7,2025-06-26 13:00:00,18.1,23.3,24.87,25.34,25.54,5277,24310,23,M031,67,49,989,398,15545,Central,1,20,28,3914
E00036,P05,Beam,5926,1331,489,0.47,OPC,Retarder,0.97,Ambient,2,28.2,52.1,2025-05-25 03:00:00,19.7,25.64,27.43,27.96,28.19,4893,22147,22,M012,23,50,1099,657,14068,Central,0,25,35,1920
E00037,P01,Column,7108,1795,308,0.36,OPC,Retarder,1.38,Moist,0,37.5,71.7,2025-05-26 15:00:00,29.51,38.77,41.56,42.4,42.75,5483,20141,24,M126,24,51,1444,651,12878,Central,0,9,24,3805
E00038,P03,Column,8466,2841,351,0.46,PSC,Retarder,1.38,Moist,1,37.2,79.0,2025-05-08 03:00:00,25.16,32.93,35.28,35.98,36.28,5005,32051,22,M146,59,18,1424,791,24125,North,0,8,26,2364
E00039,P03,Beam,8021,707,280,0.45,OPC,Retarder,0.4,Moist,2,19.0,84.9,2025-03-22 07:00:00,18.6,24.21,25.89,26.4,26.61,5016,33398,22,M009,34,33,1089,659,19438,North,0,7,27,2583
E00040,P05,Beam,8805,1010,392,0.35,OPC,Accelerator,0.49,Ambient,0,28.7,74.6,2025-08-06 03:00:00,23.68,31.02,33.24,33.9,34.18,5423,28079,22,M113,27,44,1111,658,18594,South,1,13,36,3711
E00041,P04,Slab,7039,1720,376,0.45,OPC,Accelerator,0.57,Ambient,2,32.8,51.9,2025-02-11 19:00:00,22.22,28.91,30.92,31.53,31.78,4978,37238,18,M069,56,17,979,540,20502,West,0,25,34,2639
E00042,P02,Column,4247,2325,476,0.45,PSC,Retarder,1.32,Moist,2,31.4,68.4,2025-08-12 20:00:00,23.84,31.03,33.19,33.84,34.11,4014,23269,23,M106,64,46,1095,639,18561,Central,1,22,21,3362
E00043,P01,Slab,9828,2055,646,0.36,OPC,Plasticizer,0.74,Steam,1,21.6,52.2,2025-05-10 10:00:00,27.05,35.22,37.67,38.41,38.72,4646,19776,21,M133,43,54,1310,620,19242,East,0,6,26,2593
E00044,P05,Column,4494,518,365,0.48,OPC,Retarder,1.06,Steam,0,34.9,65.1,2025-05-28 14:00:00,28.64,37.16,39.73,40.5,40.82,4931,31369,19,M058,73,22,1272,784,13924,South,0,25,24,3541
E00045,P03,Column,7452,2334,369,0.44,PSC,Plasticizer,0.89,Ambient,1,19.9,76.1,2025-12-28 08:00:00,17.04,22.33,23.92,24.4,24.6,4190,37640,20,M018,37,41,1148,778,24905,Central,0,21,28,1510
E00046,P03,Column,4717,2229,671,0.49,PSC,Retarder,1.44,Moist,2,37.9,58.5,2025-10-28 18:00:00,24.66,32.09,34.32,35.0,35.28,5362,35807,24,M117,79,35,993,657,15912,East,0,23,32,2456
E00047,P04,Column,9277,1961,515,0.35,OPC,Retarder,1.41,Ambient,0,25.7,88.3,2025-06-12 23:00:00,22.18,29.12,31.21,31.84,32.1,4828,37339,23,M026,75,43,902,569,19486,North,1,5,24,3179
E00048,P02,Wall,8605,2028,202,0.48,PSC,Plasticizer,0.68,Steam,1,19.2,67.8,2025-08-29 08:00:00,20.12,26.41,28.31,28.88,29.12,4448,38538,25,M139,22,54,870,420,22340,North,1,14,27,1870
E00049,P04,Slab,7134,1081,426,0.49,OPC,Accelerator,1.14,Moist,0,29.3,44.9,2025-11-21 22:00:00,21.35,27.76,29.69,30.27,30.51,4400,29746,23,M111,29,30,1343,510,21272,North,0,10,25,2217
E00050,P01,Beam,7576,2788,266,0.48,OPC,Retarder,1.19,Steam,1,32.4,75.1,2025-07-15 19:00:00,26.54,34.71,37.17,37.91,38.22,4741,26366,18,M120,77,33,1493,579,14588,Central,1,7,34,2915
E00051,P05,Wall,7242,1637,323,0.4,PSC,Retarder,0.65,Ambient,0,35.2,80.5,2025-11-24 13:00:00,25.76,33.36,35.65,36.34,36.63,4581,36740,23,M148,38,59,1102,311,22784,East,0,17,28,1533
E00052,P05,Column,5844,1342,480,0.47,OPC,Plasticizer,1.08,Ambient,2,32.5,79.8,2025-11-07 23:00:00,21.3,27.71,29.64,30.22,30.47,4313,39600,20,M025,77,55,1461,320,17061,North,0,19,21,3873
E00053,P03,Wall,9623,2101,299,0.48,OPC,Accelerator,0.71,Steam,1,24.4,44.7,2025-02-16 09:00:00,23.09,30.12,32.24,32.88,33.14,4887,34442,22,M043,36,45,1102,682,17549,South,0,8,34,1808
E00054,P02,Column,8065,1898,212,0.42,PSC,Accelerator,0.95,Moist,2,22.2,69.5,2025-12-13 23:00:00,21.04,27.38,29.29,29.87,30.11,4053,32902,23,M068,57,39,1453,781,18086,South,0,8,27,3431
E00055,P01,Beam,8805,658,595,0.35,PSC,Plasticizer,0.34,Moist,0,35.6,58.0,2025-10-15 10:00:00,30.34,39.46,42.21,43.04,43.38,4086,19485,18,M078,51,22,899,420,20807,Central,0,9,32,3358
E00056,P03,Beam,6898,805,621,0.47,PSC,Retarder,0.56,Ambient,2,30.6,44.3,2025-08-03 18:00:00,20.59,26.79,28.66,29.23,29.46,4558,25119,25,M114,80,30,1171,350,23234,Central,1,16,31,1748
E00057,P04,Column,4250,1268,141,0.36,OPC,Retarder,0.94,Ambient,0,28.5,71.9,2025-04-08 03:00:00,21.9,29.11,31.28,31.93,32.21,5411,36500,21,M018,73,50,1012,600,15538,East,0,12,30,2104
E00058,P05,Beam,7925,1426,298,0.47,OPC,Plasticizer,0.62,Ambient,0,26.0,43.9,2025-05-22 04:00:00,19.08,24.76,26.48,26.99,27.21,3830,29738,21,M083,21,26,1071,326,14076,North,0,18,36,1965
E00059,P01,Slab,7202,2463,346,0.35,OPC,Plasticizer,1.46,Steam,2,35.9,74.8,2025-08-18 11:00:00,35.96,46.79,50.05,51.04,51.45,4417,33009,18,M016,50,40,1236,651,13768,West,1,20,34,1801
E00060,P01,Slab,4533,1526,681,0.37,PSC,Retarder,0.6,Steam,2,28.7,75.7,2025-11-08 04:00:00,30.73,39.99,42.78,43.62,43.97,4403,32867,24,M026,70,59,917,736,22726,East,0,25,26,3261
E00061,P04,Column,6766,2103,217,0.45,PSC,Retarder,0.64,Moist,2,38.9,76.9,2025-07-31 10:00:00,27.02,35.15,37.6,38.34,38.65,4322,30265,20,M122,24,20,887,347,19075,South,1,8,31,2032
E00062,P05,Wall,8988,900,540,0.41,PSC,Plasticizer,0.6,Moist,2,23.9,77.9,2025-10-28 17:00:00,22.18,28.86,30.87,31.47,31.73,3905,27425,22,M091,26,51,1319,408,14535,North,0,20,27,1943
E00063,P03,Wall,8203,1326,559,0.35,OPC,Plasticizer,0.44,Steam,2,16.2,42.0,2025-07-08 03:00:00,24.33,31.66,33.86,34.53,34.81,4347,18948,20,M070,64,34,1147,479,12100,Central,1,10,24,3819
E00064,P04,Slab,4251,2572,340,0.42,PSC,Retarder,0.42,Moist,1,27.3,63.7,2025-03-14 23:00:00,23.7,30.73,32.84,33.48,33.75,4122,30125,22,M084,69,51,1410,343,12861,North,0,9,25,1703
E00065,P01,Column,7478,2886,572,0.38,PSC,Retarder,0.82,Ambient,2,25.0,70.8,2025-08-15 21:00:00,21.66,28.19,30.15,30.74,30.99,4033,29310,24,M029,38,58,1494,603,19972,East,1,21,29,1686
E00066,P02,Slab,5174,1634,336,0.41,OPC,Retarder,1.05,Moist,1,27.6,82.8,2025-11-03 01:00:00,23.92,31.11,33.27,33.92,34.2,4045,18253,25,M111,31,23,1189,572,23528,West,0,12,36,3788
E00067,P03,Slab,7073,476,590,0.45,OPC,Retarder,0.5,Steam,1,16.8,72.1,2025-07-23 23:00:00,20.92,27.21,29.11,29.68,29.92,4974,31252,24,M075,27,40,821,794,17321,North,1,10,34,2982
E00068,P01,Column,8324,2040,656,0.49,OPC,Retarder,0.99,Moist,2,24.7,72.2,2025-02-24 07:00:00,19.48,25.35,27.12,27.65,27.88,4495,25260,23,M044,24,47,1448,358,20693,West,0,21,26,2931
E00069,P03,Beam,5596,1208,297,0.42,OPC,Plasticizer,0.95,Ambient,0,38.5,59.3,2025-05-01 03:00:00,26.02,33.77,36.1,36.81,37.1,5382,38576,25,M119,68,51,1393,529,23159,South,0,23,30,2794
E00070,P02,Column,8672,1640,401,0.36,OPC,Retarder,0.68,Steam,0,36.1,41.2,2025-02-04 15:00:00,34.9,45.6,48.82,49.79,50.2,4435,33130,25,M010,23,38,1093,339,22562,West,0,7,36,3074
E00071,P04,Slab,7184,2741,312,0.47,PSC,Plasticizer,0.64,Moist,2,18.0,74.8,2025-10-11 23:00:00,17.52,22.79,24.38,24.86,25.06,4108,20027,25,M027,71,36,886,558,22586,Central,0,10,21,2514
E00072,P04,Beam,6481,1927,409,0.46,PSC,Retarder,1.26,Moist,2,22.1,48.9,2025-09-26 16:00:00,19.55,25.44,27.21,27.75,27.97,5024,19715,23,M017,41,21,1371,647,18333,West,1,14,28,3968
E00073,P02,Beam,6365,1670,521,0.46,OPC,Plasticizer,1.27,Steam,0,39.8,60.6,2025-02-11 18:00:00,33.07,42.64,45.52,46.39,46.76,4434,36314,24,M085,72,23,1486,659,24104,East,0,21,22,3234
E00074,P05,Wall,4976,1277,469,0.4,PSC,Accelerator,1.42,Ambient,0,36.5,61.4,2025-01-10 11:00:00,25.19,32.96,35.3,36.0,36.3,4117,20528,22,M026,52,49,1339,319,22845,East,0,15,24,3946
E00075,P04,Beam,9407,2192,164,0.46,PSC,Retarder,1.21,Steam,2,17.6,85.1,2025-03-25 05:00:00,20.9,27.19,29.09,29.66,29.9,4286,32555,22,M115,34,49,1044,458,24851,South,0,20,26,3006
E00076,P05,Column,7619,2560,548,0.4,OPC,Accelerator,1.37,Steam,0,24.7,40.5,2025-08-25 09:00:00,27.11,35.27,37.73,38.47,38.78,4312,19709,25,M096,55,21,1328,735,14042,West,1,14,22,2156
E00077,P03,Column,4251,1309,581,0.49,PSC,Accelerator,0.41,Moist,0,23.0,87.5,2025-09-20 04:00:00,18.91,24.58,26.29,26.8,27.02,4611,34449,23,M061,44,20,1183,414,12461,West,1,15,23,2873
E00078,P02,Column,9202,968,600,0.44,PSC,Plasticizer,0.84,Ambient,0,22.3,56.4,2025-01-20 09:00:00,19.11,24.68,26.36,26.87,27.08,3838,26386,21,M039,55,53,1340,516,13821,South,0,14,27,2733
E00079,P01,Column,4014,854,631,0.45,OPC,Plasticizer,1.2,Steam,2,34.8,79.5,2025-05-03 13:00:00,29.88,38.88,41.59,42.41,42.75,4295,22704,22,M110,20,54,1161,423,21349,North,0,18,25,1850
E00080,P05,Slab,6698,2325,164,0.36,PSC,Retarder,0.96,Moist,2,26.0,84.4,2025-02-04 16:00:00,25.09,32.65,34.92,35.61,35.9,3833,29701,19,M089,35,57,1443,353,24640,East,0,23,30,2046
E00081,P01,Beam,9882,2303,610,0.4,OPC,Accelerator,0.44,Ambient,2,18.6,78.1,2025-10-07 10:00:00,18.28,23.79,25.45,25.94,26.15,5389,32997,18,M076,32,17,1004,753,12686,East,0,15,29,3611
E00082,P04,Slab,9670,1182,412,0.36,PSC,Accelerator,1.14,Steam,1,16.8,81.1,2025-08-31 08:00:00,24.42,31.74,33.95,34.61,34.89,4359,22078,23,M112,76,40,1250,758,18334,Central,1,15,25,3532
E00083,P04,Slab,9456,2138,200,0.46,PSC,Plasticizer,0.4,Ambient,2,17.1,89.3,2025-09-23 08:00:00,15.89,20.67,22.11,22.55,22.73,4401,28525,19,M021,40,57,1102,456,19305,East,1,24,33,2182
E00084,P04,Wall,8536,2181,401,0.47,OPC,Accelerator,1.44,Steam,2,39.7,77.7,2025-08-17 01:00:00,31.15,40.53,43.36,44.21,44.57,4631,29904,20,M008,29,53,1494,700,19179,East,1,6,24,1775
E00085,P02,Slab,8456,1028,580,0.41,PSC,Retarder,0.4,Moist,0,34.4,67.9,2025-07-05 12:00:00,27.8,35.91,38.35,39.09,39.4,4975,22511,23,M102,40,56,1085,427,13858,East,1,5,25,3544
E00086,P05,Wall,9848,1466,576,0.37,OPC,Plasticizer,0.89,Moist,2,15.3,63.4,2025-10-15 03:00:00,19.52,25.39,27.16,27.7,27.92,4805,24559,19,M035,74,19,1262,388,23687,West,0,19,22,2809
E00087,P03,Wall,5957,1045,298,0.36,PSC,Plasticizer,0.44,Ambient,0,17.9,72.5,2025-10-09 17:00:00,19.71,25.48,27.23,27.75,27.97,4211,22550,21,M127,21,38,1367,593,18044,North,0,19,24,1853
E00088,P01,Column,7806,2082,539,0.49,OPC,Accelerator,0.75,Moist,2,22.1,83.4,2025-07-23 22:00:00,18.46,24.03,25.7,26.21,26.42,3951,32744,25,M133,42,23,1364,627,21630,East,1,10,24,3272
E00089,P05,Beam,5991,1074,285,0.38,PSC,Plasticizer,1.46,Ambient,1,15.3,88.5,2025-03-05 16:00:00,17.57,22.83,24.42,24.89,25.09,4862,27307,19,M065,32,55,1364,440,14050,North,0,25,29,3685
E00090,P01,Beam,4902,2957,465,0.36,OPC,Accelerator,0.96,Ambient,0,39.2,66.2,2025-11-25 05:00:00,28.73,37.37,39.98,40.76,41.09,5113,36899,22,M054,69,51,1226,616,22469,Central,0,5,35,3734
E00091,P03,Column,5936,2257,194,0.44,OPC,Accelerator,1.13,Moist,1,26.4,71.4,2025-09-05 07:00:00,22.56,29.23,31.23,31.84,32.09,4791,33218,21,M088,58,24,1120,741,23769,East,1,15,31,3133
E00092,P02,Slab,6114,1390,597,0.36,OPC,Retarder,0.64,Moist,0,38.8,84.5,2025-09-21 17:00:00,31.57,41.02,43.87,44.73,45.09,4088,21172,18,M075,80,39,1430,514,16067,East,1,10,30,3866
E00093,P03,Column,7585,1663,629,0.42,OPC,Accelerator,1.04,Moist,2,21.9,49.4,2025-03-23 15:00:00,20.91,27.21,29.1,29.68,29.92,4736,25888,21,M150,42,18,851,444,20108,South,0,24,35,2670
E00094,P05,Beam,5666,1898,532,0.44,PSC,Accelerator,0.39,Moist,0,39.4,89.3,2025-02-25 13:00:00,27.2,35.55,38.06,38.82,39.14,4967,36409,21,M093,55,33,875,497,20261,North,0,19,28,1986
E00095,P02,Wall,8069,1897,267,0.45,OPC,Plasticizer,0.94,Steam,1,22.7,80.7,2025-07-21 11:00:00,23.38,30.56,32.72,33.38,33.65,4824,19319,18,M010,28,60,1141,711,19761,North,1,21,34,2110
E00096,P05,Wall,4831,2009,426,0.49,PSC,Plasticizer,1.29,Steam,2,38.7,76.3,2025-03-13 10:00:00,29.51,38.4,41.08,41.89,42.22,4803,36445,22,M122,72,16,1177,469,23039,Central,0,8,33,3890
E00097,P03,Wall,8870,2769,353,0.44,OPC,Plasticizer,0.8,Moist,0,38.3,83.3,2025-11-02 15:00:00,28.43,36.63,39.11,39.85,40.16,4873,38611,24,M038,72,58,1048,316,21380,North,0,8,26,1577
E00098,P04,Column,9156,1235,540,0.5,PSC,Plasticizer,0.48,Steam,0,29.9,59.0,2025-08-03 04:00:00,24.47,31.98,34.24,34.92,35.21,5245,22524,21,M144,40,57,1289,569,18173,East,1,15,25,3382
E00099,P05,Wall,8497,2383,316,0.5,OPC,Retarder,1.31,Steam,1,36.0,63.4,2025-10-07 11:00:00,26.91,35.26,37.77,38.53,38.84,4260,27752,22,M054,64,60,1300,462,19861,East,0,16,28,2678
E00100,P01,Column,6732,1813,269,0.36,PSC,Accelerator,1.34,Moist,2,35.3,90.0,2025-12-13 17:00:00,29.67,38.6,41.29,42.1,42.44,3961,29349,25,M066,67,45,1019,403,20824,Central,0,13,28,2062
E00101,P01,Beam,3915,2575,351,0.5,OPC,Accelerator,0.97,Ambient,1,34.2,87.2,2025-10-28 07:00:00,20.46,26.69,28.57,29.13,29.37,4476,33479,19,M036,20,50,961,508,22696,Central,0,20,35,2316
E00102,P03,Slab,9797,766,357,0.42,OPC,Accelerator,0.45,Moist,0,38.9,70.3,2025-05-27 20:00:00,29.11,37.69,40.28,41.06,41.38,3874,31008,25,M048,79,33,838,304,16888,East,0,23,23,2872
E00103,P03,Column,4599,2465,599,0.38,PSC,Accelerator,1.11,Ambient,1,30.5,57.9,2025-11-25 17:00:00,24.21,31.45,33.64,34.29,34.57,4132,33037,22,M048,20,36,1102,590,23049,West,0,11,25,3160
E00104,P04,Column,8982,790,309,0.43,OPC,Retarder,1.23,Moist,0,28.0,82.6,2025-06-17 02:00:00,22.47,29.47,31.57,32.21,32.48,3813,26545,24,M061,48,32,1137,454,21543,Central,1,23,20,2571
E00105,P03,Slab,7312,1656,283,0.43,PSC,Plasticizer,0.97,Steam,2,36.9,60.2,2025-02-01 21:00:00,32.05,41.71,44.61,45.49,45.86,5376,28190,19,M076,43,54,1026,412,14188,South,0,20,24,3363
E00106,P05,Column,9704,2601,343,0.46,OPC,Plasticizer,0.56,Steam,0,18.4,40.7,2025-08-01 22:00:00,22.66,29.07,31.0,31.58,31.83,4876,32639,23,M020,78,51,914,331,20972,East,1,21,26,3845
E00107,P05,Column,4452,1241,620,0.4,OPC,Plasticizer,1.01,Moist,0,24.8,61.9,2025-03-26 10:00:00,22.7,29.62,31.7,32.33,32.59,4728,22323,24,M117,56,18,1372,536,23022,South,0,14,20,3121
E00108,P03,Slab,3871,2135,472,0.43,OPC,Plasticizer,1.24,Ambient,0,24.9,71.1,2025-04-22 18:00:00,20.59,26.58,28.38,28.93,29.15,4766,19039,22,M105,31,23,1456,800,23948,North,0,25,33,3033
E00109,P04,Slab,9092,2608,256,0.48,PSC,Accelerator,1.44,Ambient,2,18.7,86.3,2025-07-13 12:00:00,15.88,20.66,22.1,22.54,22.72,4604,35329,20,M058,73,15,823,800,16888,West,1,19,33,3678
E00110,P04,Wall,4770,1529,313,0.42,OPC,Accelerator,1.48,Steam,1,27.3,56.4,2025-05-07 14:00:00,27.53,35.83,38.33,39.08,39.4,5059,18512,21,M053,24,21,1408,317,19314,South,0,24,21,2502
E00111,P01,Beam,9679,631,263,0.45,PSC,Accelerator,0.59,Steam,2,16.9,46.4,2025-08-13 07:00:00,20.94,27.24,29.14,29.71,29.95,4453,36922,23,M061,39,24,1476,566,15621,West,1,18,29,2627
E00112,P01,Beam,8628,2149,689,0.38,PSC,Accelerator,0.71,Moist,2,37.4,63.7,2025-10-30 23:00:00,29.74,38.7,41.39,42.21,42.55,5174,30489,23,M107,46,24,1107,492,15012,Central,0,22,35,2487
E00113,P02,Column,3972,2703,542,0.45,PSC,Plasticizer,0.51,Steam,0,19.8,42.0,2025-12-29 04:00:00,21.85,28.6,30.63,31.24,31.49,4595,25957,22,M053,41,56,880,772,19369,East,0,16,22,3693
E00114,P02,Slab,4096,1170,692,0.38,OPC,Retarder,0.41,Ambient,1,18.0,63.0,2025-05-18 12:00:00,18.23,23.85,25.54,26.04,26.26,4420,18502,21,M049,67,22,1290,768,15974,North,0,24,26,3124
